date,weight,PriceUSD
2011-06-01,0.001234303138353576,9.62377723202805
2011-06-02,0.0005699721419703109,10.7027602279369
2011-06-03,0.0003477860567228102,14.2646467738165
2011-06-04,0.00014005803332556882,18.3127387258913
2011-06-05,7.523103330959298e-05,16.5433423962595
2011-06-06,0.00010727501663008772,18.4020986440678
2011-06-07,8.742252728969955e-05,23.2378784628872
2011-06-08,5.555072920654147e-05,29.0299213267095
2011-06-09,4.013123704733068e-05,28.7905440181181
2011-06-10,4.909915408285102e-05,24.0493992285213
2011-06-11,8.285449015833257e-05,14.7497466277031
2011-06-12,0.000291899841755635,18.8501447311514
2011-06-13,0.0001651682370377084,19.5423291145529
2011-06-14,0.00016073638774148375,19.2577355055523
2011-06-15,0.00017655032854708573,19.4641426241964
2011-06-16,0.00018179141937254688,17.9293625423729
2011-06-17,0.00023284555339912915,15.4363689129164
2011-06-18,0.00035002721328744504,16.8754045353594
2011-06-19,0.0002910054862829678,17.5107167913501
2011-06-20,0.00027625710879352944,17.5107167913501
2011-06-21,0.00028788207190613403,17.5107167913501
2011-06-22,0.00029991450017759956,17.5107167913501
2011-06-23,0.0003123844159477176,17.5107167913501
2011-06-24,0.0003253959441347711,17.5107167913501
2011-06-25,0.00033848880715140465,17.5107167913501
2011-06-26,0.0003521503461194775,16.3613420157802
2011-06-27,0.00044791607843304866,16.7522858132671
2011-06-28,0.00043706039455927747,16.9618353071303
2011-06-29,0.0004423921598124775,16.8545683179427
2011-06-30,0.00047829610346399184,16.1852627808299
2011-07-01,0.0005983427929824097,15.4203573991818
2011-07-02,0.0008001882273549009,15.38284406955
2011-07-03,0.0008995023145605633,15.4575505604909
2011-07-04,0.0009018371824402212,13.8527968123904
2011-07-05,0.0014203883064161317,12.9648177147867
2011-07-06,0.0017803382071462112,14.7147835832846
2011-07-07,0.0009868978083465475,14.7972891613092
2011-07-08,0.0009353564065468012,14.2990376969608
2011-07-09,0.0011029332801358168,14.3815006697838
2011-07-10,0.0011315655975403262,14.6229375511397
2011-07-11,0.0010459415215559556,14.3101554330801
2011-07-12,0.0011941373804550883,14.0212726215663
2011-07-13,0.0012976851981795553,13.9714545225015
2011-07-14,0.001279222061387945,13.997974547633
2011-07-15,0.0012200794136727163,13.8063904056108
2011-07-16,0.0013043313459698569,13.7130792992402
2011-07-17,0.0013052984372800209,13.2581353109293
2011-07-18,0.0015543451830841845,13.6305212504383
2011-07-19,0.0012264476963924343,13.8247948386908
2011-07-20,0.001076939392361425,13.6783305920514
2011-07-21,0.001121983159673233,13.6118084418469
2011-07-22,0.0011251889303609975,13.6985473310929
2011-07-23,0.0010448462661924792,13.6817183424898
2011-07-24,0.0010271807371809577,13.992515176505
2011-07-25,0.0008411661320317873,14.0334253787259
2011-07-26,0.0007990711497732305,13.8780323232028
2011-07-27,0.000858288304842912,13.878224755114
2011-07-28,0.000835520677840315,13.4915910756867
2011-07-29,0.0010956518953048968,13.5123163901227
2011-07-30,0.001083263001891667,13.5402806738749
2011-07-31,0.0010517472207996121,13.3729061022794
2011-08-01,0.0012358855643741134,13.0191138468732
2011-08-02,0.001832094565739719,12.2141564389246
2011-08-03,0.004327609863977234,9.28635691350088
2011-08-04,0.01043136138578847,10.7685037481005
2011-08-05,0.0035722585465266608,9.73015395967271
2011-08-06,0.00521797328576403,6.964169735827
2011-08-07,0.014479936699851275,8.50179329222677
2011-08-08,0.004422279048732228,7.77533763793104
2011-08-09,0.005270011900567254,9.80249948100526
2011-08-10,0.0018796641734482723,10.0512531274109
2011-08-11,0.0016245600252794753,9.43841299473992
2011-08-12,0.002000409460696044,9.45299328521333
2011-08-13,0.001893165419032187,10.0040247445938
2011-08-14,0.0014517166603280082,10.8068207665108
2011-08-15,0.0010355082089093318,11.1306965499708
2011-08-16,0.0008988093225738084,10.9919655669199
2011-08-17,0.0009279505677473274,10.9639640561075
2011-08-18,0.0009172901633073624,10.8584714558738
2011-08-19,0.0009320943509662725,11.6704730432496
2011-08-20,0.000674686318309558,11.4597317393337
2011-08-21,0.0007138671606171634,11.3544813407364
2011-08-22,0.0007258660263259489,10.9208958246639
2011-08-23,0.0008387436751964064,10.9172450543542
2011-08-24,0.0008158383391215262,10.870444289889
2011-08-25,0.0008063384306225492,9.5460936735827
2011-08-26,0.0014303577628709458,8.12692016306254
2011-08-27,0.0028933285454488117,8.59649760666277
2011-08-28,0.00210801894456212,9.03086639976622
2011-08-29,0.0016006930860836212,8.96115727060199
2011-08-30,0.0016083791532363048,8.80994873816481
2011-08-31,0.0016997254980851196,8.19915176446523
2011-09-01,0.0024024502349583605,8.23428166510813
2011-09-02,0.002239015235163407,8.6214244377557
2011-09-03,0.0016908332423422492,8.44965344067796
2011-09-04,0.0018139731681429377,8.20347060227937
2011-09-05,0.0020491190039881465,7.5973325251315
2011-09-06,0.0032831972062150657,6.84653002893045
2011-09-07,0.005095639172326428,7.16297027352426
2011-09-08,0.003800252772616554,6.67818000029223
2011-09-09,0.004688187330000422,4.98677704178843
2011-09-10,0.012384030509741942,4.74284665517242
2011-09-11,0.01100723437300499,5.85290397253068
2011-09-12,0.004392321591825342,6.09062947223846
2011-09-13,0.0035224641969447325,5.80252327703098
2011-09-14,0.003917390074038246,5.59743261016949
2011-09-15,0.004154602066435046,4.86775518468732
2011-09-16,0.0061994469702701446,4.83116810052601
2011-09-17,0.005805314151531501,4.775285635301
2011-09-18,0.005571018403753008,5.23673227819988
2011-09-19,0.003852587093692182,5.52037669199299
2011-09-20,0.003078311151428071,6.14666555172414
