date,weight,PriceUSD,MA20
2011-06-01,0.001234303138353576,9.62377723202805,
2011-06-02,0.0005699721419703109,10.7027602279369,
2011-06-03,0.0003477860567228102,14.2646467738165,
2011-06-04,0.00014005803332556882,18.3127387258913,
2011-06-05,7.523103330959298e-05,16.5433423962595,
2011-06-06,0.00010727501663008772,18.4020986440678,
2011-06-07,8.742252728969955e-05,23.2378784628872,
2011-06-08,5.555072920654147e-05,29.0299213267095,
2011-06-09,4.013123704733068e-05,28.7905440181181,
2011-06-10,4.909915408285102e-05,24.0493992285213,
2011-06-11,8.285449015833257e-05,14.7497466277031,
2011-06-12,0.000291899841755635,18.8501447311514,
2011-06-13,0.0001651682370377084,19.5423291145529,
2011-06-14,0.00016073638774148375,19.2577355055523,
2011-06-15,0.00017655032854708573,19.4641426241964,
2011-06-16,0.00018179141937254688,17.9293625423729,
2011-06-17,0.00023284555339912915,15.4363689129164,
2011-06-18,0.00035002721328744504,16.8754045353594,
2011-06-19,0.0002910054862829678,17.5107167913501,
2011-06-20,0.00027625710879352944,17.5107167913501,18.504188760637057
2011-06-21,0.00028788207190613403,17.5107167913501,18.89853573860316
2011-06-22,0.00029991450017759956,17.5107167913501,19.23893356677382
2011-06-23,0.0003123844159477176,17.5107167913501,19.4012370676505
2011-06-24,0.0003253959441347711,17.5107167913501,19.36113597092344
2011-06-25,0.00033848880715140465,17.5107167913501,19.40950469067797
2011-06-26,0.0003521503461194775,16.3613420157802,19.30746685926359
2011-06-27,0.00044791607843304866,16.7522858132671,18.983187226782587
2011-06-28,0.00043706039455927747,16.9618353071303,18.379782925803624
2011-06-29,0.0004423921598124775,16.8545683179427,17.782984140794852
2011-06-30,0.00047829610346399184,16.1852627808299,17.389777318410285
2011-07-01,0.0005983427929824097,15.4203573991818,17.42330785698422
2011-07-02,0.0008001882273549009,15.38284406955,17.24994282390415
2011-07-03,0.0008995023145605633,15.4575505604909,17.04570389620105
2011-07-04,0.0009018371824402212,13.8527968123904,16.775456961542954
2011-07-05,0.0014203883064161317,12.9648177147867,16.45049071607247
2011-07-06,0.0017803382071462112,14.7147835832846,16.289761768118055
2011-07-07,0.0009868978083465475,14.7972891613092,16.257807780537696
2011-07-08,0.0009353564065468012,14.2990376969608,16.128989438617765
2011-07-09,0.0011029332801358168,14.3815006697838,15.972528632539447
2011-07-10,0.0011315655975403262,14.6229375511397,15.82813967052893
2011-07-11,0.0010459415215559556,14.3101554330801,15.66811160261543
2011-07-12,0.0011941373804550883,14.0212726215663,15.49363939412624
2011-07-13,0.0012976851981795553,13.9714545225015,15.316676280683811
2011-07-14,0.001279222061387945,13.997974547633,15.141039168497954
2011-07-15,0.0012200794136727163,13.8063904056108,14.955822849210993
2011-07-16,0.0013043313459698569,13.7130792992402,14.82340971338399
2011-07-17,0.0013052984372800209,13.2581353109293,14.648702188267098
2011-07-18,0.0015543451830841845,13.6305212504383,14.4821364854325
2011-07-19,0.0012264476963924343,13.8247948386908,14.330647811469905
2011-07-20,0.001076939392361425,13.6783305920514,14.205301202030977
2011-07-21,0.001121983159673233,13.6118084418469,14.114873754164233
2011-07-22,0.0011251889303609975,13.6985473310929,14.030658917241379
2011-07-23,0.0010448462661924792,13.6817183424898,13.941867306341322
2011-07-24,0.0010271807371809577,13.992515176505,13.948853224547056
2011-07-25,0.0008411661320317873,14.0334253787259,14.002283607744015
2011-07-26,0.0007990711497732305,13.8780323232028,13.960446044739925
2011-07-27,0.000858288304842912,13.878224755114,13.914492824430164
2011-07-28,0.000835520677840315,13.4915910756867,13.874120493366462
2011-07-29,0.0010956518953048968,13.5123163901227,13.830661279383406
2011-07-30,0.001083263001891667,13.5402806738749,13.776528435520163
2011-07-31,0.0010517472207996121,13.3729061022794,13.729665968980132
2011-08-01,0.0012358855643741134,13.0191138468732,13.679558030245474
2011-08-02,0.001832094565739719,12.2141564389246,13.59169312606663
2011-08-03,0.004327609863977234,9.28635691350088,13.356112244360025
2011-08-04,0.01043136138578847,10.7685037481005,13.204217911484509
2011-08-05,0.0035722585465266608,9.73015395967271,13.005071644506135
2011-08-06,0.00521797328576403,6.964169735827,12.690373365751018
2011-08-07,0.014479936699851275,8.50179329222677,12.433936967840442
2011-08-08,0.004422279048732228,7.77533763793104,12.131464107802454
2011-08-09,0.005270011900567254,9.80249948100526,11.937672552250147
2011-08-10,0.0018796641734482723,10.0512531274109,11.759644786528348
2011-08-11,0.0016245600252794753,9.43841299473992,11.5466380697107
2011-08-12,0.002000409460696044,9.45299328521333,11.335201816846876
2011-08-13,0.001893165419032187,10.0040247445938,11.135777295251314
2011-08-14,0.0014517166603280082,10.8068207665108,10.974447064640561
2011-08-15,0.0010355082089093318,11.1306965499708,10.837080275978959
2011-08-16,0.0008988093225738084,10.9919655669199,10.692767316569256
2011-08-17,0.0009279505677473274,10.9639640561075,10.566385965590296
2011-08-18,0.0009172901633073624,10.8584714558738,10.433693718877851
2011-08-19,0.0009320943509662725,11.6704730432496,10.340203337346585
2011-08-20,0.000674686318309558,11.4597317393337,10.244544619199301
2011-08-21,0.0007138671606171634,11.3544813407364,10.16131299389246
2011-08-22,0.0007258660263259489,10.9208958246639,10.096649963179427
2011-08-23,0.0008387436751964064,10.9172450543542,10.17819437022209
2011-08-24,0.0008158383391215262,10.870444289889,10.183291397311516
2011-08-25,0.0008063384306225492,9.5460936735827,10.174088383007016
2011-08-26,0.0014303577628709458,8.12692016306254,10.232225904368793
2011-08-27,0.0028933285454488117,8.59649760666277,10.236961120090594
