window,min_sats_per_dollar,max_sats_per_dollar,uniform_sats_per_dollar,dynamic_sats_per_dollar,uniform_percentile,dynamic_percentile,excess_percentile
2011-06-23 → 2012-06-23,5710788.495499954,47504448.71908882,20125147.069615107,31220014.086909886,34.48934239547535,61.036112785862684,26.546770390387337
2011-06-24 → 2012-06-24,5710788.495499954,47504448.71908882,20152493.167374685,31207453.45814644,34.554773605886886,61.006058876498805,26.45128527061192
2011-06-25 → 2012-06-25,5710788.495499954,47504448.71908882,20180063.532162055,31193209.31618229,34.620741421674914,60.971976812645224,26.35123539097031
2011-06-26 → 2012-06-26,5895588.430690792,47504448.71908882,20206860.247942932,31176599.592159145,34.3947700515186,60.758720585570956,26.363950534052357
2011-06-27 → 2012-06-27,5895588.430690792,47504448.71908882,20231393.108306725,31153053.28515532,34.45373071565059,60.70213093894132,26.24840022329073
2011-06-28 → 2012-06-28,5895588.430690792,47504448.71908882,20256474.915834595,31140444.426688567,34.514010683316194,60.67182763724222,26.157816953926023
2011-06-29 → 2012-06-29,5933109.535267302,47504448.71908882,20281331.005480904,31121696.99155443,34.514696307396214,60.59123413106179,26.076537823665575
2011-06-30 → 2012-06-30,6178460.081503386,47504448.71908882,20305952.23733811,31095664.391821176,34.18549107131573,60.29427276098103,26.1087816896653
2011-07-01 → 2012-07-01,6469330.286753027,47504448.71908882,20330234.642551363,31060863.68072846,33.77815121614442,59.92801856908309,26.14986735293867
2011-07-02 → 2012-07-02,6469330.286753027,47504448.71908882,20352970.906720083,31025761.698466558,33.8335580604215,59.84247724837317,26.00891918795167
2011-07-03 → 2012-07-03,6469330.286753027,47504448.71908882,20377502.639042944,31009179.08611795,33.893340347545426,59.8020664661405,25.908726118595077
2011-07-04 → 2012-07-04,6757994.583323561,47504448.71908882,20401699.510546483,30999734.6592887,33.4843981313386,59.49410958605823,26.00971145471963
2011-07-05 → 2012-07-05,6757994.583323561,47504448.71908882,20423051.128403407,30957320.570497256,33.53679929926791,59.390016874947406,25.853217575679494
2011-07-06 → 2012-07-06,6757994.583323561,47504448.71908882,20442872.437594734,30971772.961044792,33.5854447817074,59.42548595036531,25.840041168657905
2011-07-07 → 2012-07-07,6757994.583323561,47504448.71908882,20464376.86419118,31092337.526078284,33.638220973041236,59.72137566050249,26.083154687461253
2011-07-08 → 2012-07-08,6838571.227585259,47504448.71908882,20486054.944741666,31098618.45037071,33.56003745402472,59.65701152730362,26.096974073278894
2011-07-09 → 2012-07-09,6838571.227585259,47504448.71908882,20505745.48203405,31084460.310243778,33.60845774766402,59.622195752997776,26.013738005333757
2011-07-10 → 2012-07-10,6838571.227585259,47504448.71908882,20524756.256630667,31092250.985765014,33.655206461252185,59.641353523595164,25.98614706234298
2011-07-11 → 2012-07-11,6988044.292575244,47504448.71908882,20544045.158487476,31106846.326024216,33.45805497252196,59.52848574506241,26.070430772540455
2011-07-12 → 2012-07-12,7125843.997545741,47504448.71908882,20561065.82343387,31097127.22255723,33.27312055119149,59.36629903465228,26.09317848346079
2011-07-13 → 2012-07-13,7125843.997545741,47504448.71908882,20577339.82180098,31101964.442934386,33.31342406955063,59.378278696680006,26.064854627129378
2011-07-14 → 2012-07-14,7125843.997545741,47504448.71908882,20593783.790178537,31122932.593655534,33.35414852868179,59.430207560655745,26.076059031973955
2011-07-15 → 2012-07-15,7125843.997545741,47504448.71908882,20610042.70203561,31143314.076397844,33.394414684407565,59.48068350672388,26.086268822316313
2011-07-16 → 2012-07-16,7125843.997545741,47504448.71908882,20622388.25324691,31148522.98685781,33.42498917130833,59.49358368119966,26.068594509891327
2011-07-17 → 2012-07-17,7125843.997545741,47504448.71908882,20633651.66305089,31164757.036436256,33.45288367108527,59.53378826402365,26.08090459293838
2011-07-18 → 2012-07-18,7125843.997545741,47504448.71908882,20643058.421881303,31169330.53652378,33.47618006504261,59.54511480717457,26.068934742131958
2011-07-19 → 2012-07-19,7125843.997545741,47504448.71908882,20653754.270419065,31234340.150724623,33.5026689658145,59.70611495725196,26.203445991437462
2011-07-20 → 2012-07-20,7125843.997545741,47504448.71908882,20665979.28913278,31258931.95493823,33.532944946864426,59.76701801317278,26.234073066308355
2011-07-21 → 2012-07-21,7125843.997545741,47504448.71908882,20676758.450056475,31256670.468482763,33.559640175681835,59.761417308366205,26.20177713268437
2011-07-22 → 2012-07-22,7125843.997545741,47504448.71908882,20688772.25766028,31260397.46427249,33.58939307994055,59.77064743361553,26.18125435367498
2011-07-23 → 2012-07-23,7125843.997545741,47504448.71908882,20700820.270762857,31268487.88237069,33.61923069613769,59.79068383198539,26.1714531358477
2011-07-24 → 2012-07-24,7125843.997545741,47504448.71908882,20712682.255315423,31264219.200574823,33.64860760164091,59.7801121893412,26.13150458770029
2011-07-25 → 2012-07-25,7125843.997545741,47504448.71908882,20724280.836512752,31264922.06016956,33.677332173174065,59.78185286264972,26.104520689475656
2011-07-26 → 2012-07-26,7205532.534926768,47504448.71908882,20735563.644211642,31232022.051773988,33.57418112053925,59.6206841073555,26.04650298681625
2011-07-27 → 2012-07-27,7205532.534926768,47504448.71908882,20746574.855562847,31179578.021748524,33.60150496046806,59.49054653793354,25.889041577465477
2011-07-28 → 2012-07-28,7385371.279115621,47504448.71908882,20757755.80523104,31124259.22400785,33.33173487382253,59.171071369751026,25.839336495928492
2011-07-29 → 2012-07-29,7385371.279115621,47504448.71908882,20768708.332046773,31036539.43597006,33.35903492037052,58.95242280244776,25.593387882077238
2011-07-30 → 2012-07-30,7385371.279115621,47504448.71908882,20778524.35771507,30971910.534424063,33.38350214717299,58.79133011121452,25.40782796404153
2011-07-31 → 2012-07-31,7477806.187763114,47504448.71908882,20787633.603413627,30881061.260425452,33.25242032287359,58.46919349867142,25.216773175797833
2011-08-01 → 2012-08-01,7681014.328330573,47504448.71908882,20795736.26280027,30735340.57285084,32.932172061767744,57.89135617562518,24.959184113857432
2011-08-02 → 2012-08-02,8187221.156044447,47504448.71908882,20800631.97024452,30527319.79989443,32.081129815103886,56.82012702454182,24.738997209437933
2011-08-03 → 2012-08-03,8568632.96195536,47504448.71908882,20803285.25944771,30237830.97990736,31.422617093237164,55.65363816470693,24.23102107146977
2011-08-04 → 2012-08-04,8568632.96195536,47504448.71908882,20798896.329583917,29990329.170448508,31.41134487566975,55.017971992967595,23.606627117297844
2011-08-05 → 2012-08-05,8568632.96195536,47504448.71908882,20798810.587928314,30897825.107557293,31.41112466285557,57.348720481118946,25.937595818263375
2011-08-06 → 2012-08-06,8568632.96195536,47504448.71908882,20795875.358528607,30808116.37101903,31.403586026916834,57.118318896372834,25.714732869456
2011-08-07 → 2012-08-07,8568632.96195536,47504448.71908882,20781653.248019807,30481928.513887107,31.367058962484666,56.28056103567574,24.913502073191072
2011-08-08 → 2012-08-08,8568632.96195536,47504448.71908882,20774216.95315515,31886685.63942113,31.347960107818196,59.88844004942584,28.540479941607643
2011-08-09 → 2012-08-09,8568632.96195536,47504448.71908882,20763712.345835533,32023754.481079858,31.320980816090653,60.240477984148235,28.919497168057582
2011-08-10 → 2012-08-10,8568632.96195536,47504448.71908882,20759717.794110265,32587801.15747996,31.310721491487865,61.689135641453795,30.37841414996593
2011-08-11 → 2012-08-11,8568632.96195536,47504448.71908882,20756215.340451196,32667756.482820008,31.30172603681211,61.89448725354991,30.592761216737802
2011-08-12 → 2012-08-12,8568632.96195536,47504448.71908882,20750850.834950607,32685102.233968385,31.28794821966285,61.9390368560459,30.65108863638305
2011-08-13 → 2012-08-13,8343788.802724157,47504448.71908882,20744761.26821667,32776123.191561226,31.666913918144495,62.38999659611751,30.723082677973018
2011-08-14 → 2012-08-14,8205399.206485311,47504448.71908882,20739882.30999289,32894081.24574008,31.895130439446568,62.82259328266176,30.92746284321519
2011-08-15 → 2012-08-15,7592969.829481615,47504448.71908882,20735357.93557145,32979746.730749995,32.92884270823666,63.607707876440024,30.678865168203366
2011-08-16 → 2012-08-16,7434507.108432322,47504448.71908882,20731135.43802226,33007362.468506407,33.18354805401996,63.820545606368064,30.636997552348106
2011-08-17 → 2012-08-17,7434507.108432322,47504448.71908882,20728908.31067974,33008905.086447332,33.177989954224955,63.8243954196668,30.646405465441845
2011-08-18 → 2012-08-18,7434507.108432322,47504448.71908882,20727591.278590128,33015451.099614013,33.17470312116088,63.84073188761149,30.66602876645061
2011-08-19 → 2012-08-19,7434507.108432322,47504448.71908882,20737294.217371,33019112.975786764,33.19891812719995,63.84987059863916,30.650952471439204
2011-08-20 → 2012-08-20,7434507.108432322,47504448.71908882,20741249.342618637,33043162.702265427,33.20878868125782,63.90988996855076,30.701101287292936
2011-08-21 → 2012-08-21,7434507.108432322,47504448.71908882,20744987.110179298,33015121.71668017,33.21811678958645,63.83990986761196,30.621793078025505
2011-08-22 → 2012-08-22,7434507.108432322,47504448.71908882,20748871.69763563,32986077.592670947,33.227811306973265,63.767426298028965,30.5396149910557
2011-08-23 → 2012-08-23,7434507.108432322,47504448.71908882,20750929.909351412,32943336.254413523,33.23294785480201,63.660759463640424,30.42781160883841
2011-08-24 → 2012-08-24,7434507.108432322,47504448.71908882,20751691.34607694,32910803.68590753,33.234848123918766,63.579570005412364,30.344721881493598
2011-08-25 → 2012-08-25,7434507.108432322,47504448.71908882,20752370.518723838,32858602.084072955,33.236543091816394,63.449293794027284,30.21275070221089
2011-08-26 → 2012-08-26,7434507.108432322,47504448.71908882,20749665.34440925,32746981.17050389,33.2297919606546,63.170728592576175,29.940936631921574
2011-08-27 → 2012-08-27,7434507.108432322,47504448.71908882,20741134.575161092,32639081.855205107,33.20850226342707,62.90145114678602,29.69294888335895
2011-08-28 → 2012-08-28,7434507.108432322,47504448.71908882,20734360.762041677,32795008.475369353,33.191597289655874,63.29058727700384,30.098989987347963
2011-08-29 → 2012-08-29,7434507.108432322,47504448.71908882,20729260.961671,32874025.299147572,33.17887004283273,63.48778452911365,30.30891448628092
