date,weight,PriceUSD,MA20,window_year,spd,spd_percentile
2011-07-22,0.0011251889303609,13.6985473310929,14.03065891724138,2011,7300044.1275273375,9
2011-07-23,0.0010448462661924,13.6817183424898,13.941867306341322,2011,7309023.435268438,9
2011-07-24,0.0010271807371809,13.992515176505,13.948853224547056,2011,7146677.973086011,8
2011-07-25,0.0008411661320317,14.0334253787259,14.002283607744015,2011,7125843.997545741,8
2011-07-26,0.0007990711497732,13.8780323232028,13.960446044739925,2011,7205632.446381405,9
2011-07-27,0.0008582883048429,13.878224755114,13.914492824430164,2011,7205532.534926768,9
2011-07-28,0.0008355206778403,13.4915910756867,13.874120493366462,2011,7412024.233391626,9
2011-07-29,0.0010956518953048,13.5123163901227,13.830661279383406,2011,7400655.602846784,9
2011-07-30,0.0010832630018916,13.5402806738749,13.776528435520165,2011,7385371.279115621,9
2011-07-31,0.0010517472207996,13.3729061022794,13.729665968980132,2011,7477806.187763114,9
2011-08-01,0.0012358855643741,13.0191138468732,13.679558030245474,2011,7681014.328330573,10
2011-08-02,0.0018320945657397,12.2141564389246,13.59169312606663,2011,8187221.156044447,11
2011-08-03,0.0043276098639772,9.28635691350088,13.356112244360023,2011,10768485.524675017,17
2011-08-04,0.0104313613857884,10.7685037481005,13.204217911484507,2011,9286341.198296877,13
2011-08-05,0.0035722585465266,9.73015395967271,13.005071644506137,2011,10277329.67170477,16
2011-08-06,0.005217973285764,6.964169735827,12.690373365751018,2011,14359213.487510571,25
2011-08-07,0.0144799366998512,8.50179329222677,12.433936967840442,2011,11762224.340531835,19
2011-08-08,0.0044222790487322,7.77533763793104,12.131464107802454,2011,12861177.823605003,21
2011-08-09,0.0052700119005672,9.80249948100526,11.937672552250149,2011,10201479.75460488,15
2011-08-10,0.0018796641734482,10.0512531274109,11.759644786528348,2011,9949008.221401641,15
2011-08-11,0.0016245600252794,9.43841299473992,11.5466380697107,2011,10595001.517281618,16
2011-08-12,0.002000409460696,9.45299328521333,11.335201816846876,2011,10578659.794080585,16
2011-08-13,0.0018931654190321,10.0040247445938,11.135777295251314,2011,9995976.874611417,15
2011-08-14,0.001451716660328,10.8068207665108,10.97444706464056,2011,9253415.242148688,13
2011-08-15,0.0010355082089093,11.1306965499708,10.83708027597896,2011,8984163.708987497,13
2011-08-16,0.0008988093225738,10.9919655669199,10.692767316569256,2011,9097553.97168892,13
2011-08-17,0.0009279505677473,10.9639640561075,10.566385965590296,2011,9120788.748326367,13
2011-08-18,0.0009172901633073,10.8584714558738,10.433693718877851,2011,9209399.352973003,13
2011-08-19,0.0009320943509662,11.6704730432496,10.340203337346583,2011,8568632.96195536,12
2011-08-20,0.0006746863183095,11.4597317393337,10.2445446191993,2011,8726207.757269394,12
2011-08-21,0.0007138671606171,11.3544813407364,10.16131299389246,2011,8807095.36605874,12
2011-08-22,0.0007258660263259,10.9208958246639,10.096649963179429,2011,9156757.980802147,13
