date,weight,PriceUSD,MA20,window_year,spd,spd_percentile,30d_return,60d_return,365d_return
2023-04-25,8.45416675583349e-05,28302.6942180012,28953.58650370543,2022,3533.232533615035,11,-0.06422916067857598,0.07936778216078744,1.2679808293890629
2023-04-26,4.081557423966143e-05,28384.2340333139,28970.344481554646,2022,3523.082563462251,11,-0.05861881720080164,0.07339307922787675,1.2729303667948386
2023-04-27,3.9720021971271346e-05,29465.5514272355,29046.78183986849,2022,3393.79360494738,6,-0.08861232627639881,0.02682232840313925,1.1644757491740552
2023-04-28,1.909439980676467e-05,29350.811886616,29116.119871706604,2022,3407.060778635568,7,-0.042700377948924895,0.04484592839631185,1.1610751419744076
2023-04-29,2.088596803821231e-05,29221.5145075979,29159.305233571,2022,3422.136110501697,7,-0.04984141523002217,0.030201335524328465,1.1552126255671213
2023-04-30,2.3301290604125016e-05,29362.0867974868,29143.031314210977,2022,3405.75248243457,7,-0.0561811299180035,0.037419213020317255,1.1765615406514782
2023-05-01,2.187878448168312e-05,28114.9531873174,29036.42417760958,2022,3556.826125007023,12,-0.03191433125650578,0.08428077595005568,1.1567286902226726
2023-05-02,6.251112736020445e-05,28690.5809959088,28975.30305008766,2022,3485.464446128147,9,-0.06501121922400166,0.06591389591859675,1.0265109754397814
2023-05-03,3.753784191991677e-05,29045.0427735243,28909.014085154875,2022,3442.928308962724,8,-0.06162203971688718,0.05333693987834076,1.0371844295428403
2023-05-04,2.9114124732657165e-05,28855.8574465225,28828.85845540619,2022,3465.500901691323,9,-0.061562855495333246,0.07899609835053822,1.182699148521249
2023-05-05,3.488864986939894e-05,29552.9695236704,28789.403976168906,2022,3383.754716083782,6,-0.0810312801968126,0.04219467458945658,1.161580767434955
2023-05-06,2.1599098509893986e-05,28899.4629602572,28718.730581516655,2022,3460.27191361725,9,-0.10773942340448561,0.0553075733700823,1.2169130298346387
2023-05-07,3.647498850149043e-05,28761.738434249,28683.34224959088,2022,3476.841298331316,9,-0.0538203877726392,0.04234762714373108,1.1983408019190218
2023-05-08,4.3074616448142526e-05,27727.2854091175,28551.36290097896,2022,3606.555727489905,13,-0.05004840392483878,0.09386413170811503,1.2503825671957465
2023-05-09,0.0001331761390371,27642.4281092928,28493.647101680304,2022,3617.6272071548633,14,-0.040543996509121216,0.09482493775422407,1.2096204496335994
2023-05-10,0.0001481309043333,27646.004902104,28463.3835278346,2022,3617.159164736656,13,-0.04251346001859568,0.09105171482134211,1.2787556669105524
2023-05-11,0.0001457857635017,26986.271065751,28448.09602586207,2022,3705.5879175138302,16,-0.04161587246873111,0.1263006847666801,1.2565786039762554
2023-05-12,0.000306135318807,26773.3443591467,28395.38586421683,2022,3735.058222781815,17,-0.03236488485925626,0.14353465459526848,1.2725428735328999
2023-05-13,0.0003740791238737,26841.3982913501,28357.221500073058,2022,3725.5883212398057,17,-0.03482107548150348,0.13204269223952303,1.2886763953612141
2023-05-14,0.0003367090823744,26918.261597896,28327.12459631795,2022,3714.950151454664,17,-0.03853895322013223,0.16778475297015905,1.3362184523114973
2023-05-15,0.0003059802522545,27231.6216052016,28273.570965677973,2022,3672.20143735027,15,-0.07836610895002194,0.1130689336057078,1.2604444163148063
2023-05-16,0.0002140249717585,27025.7181864407,28205.645173334313,2022,3700.17918895387,16,-0.05426589765288481,0.1208172299764414,1.4525354625910354
